id,size,air distance matrix time,savings air time,savings air result,nn air time,nn air result,jsprit air time,jsprit air result,google air time,google air result,road distance matrix time,savings road time,savings road result,nn road time,nn road result,jsprit road time,jsprit road result,google road time,google road result,
problem_n110_083ee6b4-c37b-4fc8-bc6e-cc034c43f975.vrp,110,344.0,1844.0,6283921.07240133918821811676025390625,109.0,6646840.37851593829691410064697265625,44554.0,6166282.021010861732065677642822265625,688.0,6148873.3214638419449329376220703125,33207.0,844.0,6082587.176146593876183032989501953125,32423.0,6936787.9839728958904743194580078125,42154.0,5950433.14498314447700977325439453125,860.0,6119786.626480028964579105377197265625,
problem_n110_43d26258-5ff3-4c5a-9d16-60888441c463.vrp,110,62.0,828.0,8631951.424578689038753509521484375,47.0,9262012.915387220680713653564453125,38133.0,8398907.441177882254123687744140625,906.0,8578418.33767406642436981201171875,32886.0,837.0,8473859.44209615886211395263671875,32868.0,9131058.36448788456618785858154296875,40892.0,8433136.8665765784680843353271484375,828.0,8363211.24939289502799510955810546875,
problem_n110_4c630bec-a3b0-49f9-ae4d-1d35074360f3.vrp,110,16.0,828.0,6828447.74349156953394412994384765625,31.0,7350052.140536683611571788787841796875,38958.0,6830768.180194658227264881134033203125,938.0,6763868.528595224954187870025634765625,32594.0,796.0,6883206.21293444745242595672607421875,32384.0,7460013.7867104113101959228515625,40458.0,6693197.769547020085155963897705078125,649.0,6853665.972035520710051059722900390625,
problem_n110_65a97a57-3a61-4bfb-85a6-92af2b613d39.vrp,110,31.0,719.0,5589501.32220895588397979736328125,31.0,5940821.53330055065453052520751953125,39346.0,5428885.72597480006515979766845703125,844.0,5594764.8441700451076030731201171875,30877.0,719.0,5550734.607307902537286281585693359375,30739.0,5769775.276423637755215167999267578125,45701.0,5283798.42136110365390777587890625,633.0,5427223.846027628518640995025634765625,
problem_n110_7dc81b01-1863-43fa-ac1a-cf01b002ef5a.vrp,110,26.0,972.0,6510415.8204950392246246337890625,77.0,6959865.476848213933408260345458984375,47011.0,6517308.209168686531484127044677734375,863.0,6503370.64921389520168304443359375,35968.0,931.0,6474142.45717157423496246337890625,34818.0,6839249.930314420722424983978271484375,41254.0,6291926.288615197874605655670166015625,666.0,6441092.87151004187762737274169921875,
problem_n110_a02e5eb5-b902-47cf-9d35-fc74c3813513.vrp,110,22.0,665.0,5457848.053680882789194583892822265625,28.0,5904978.77864426933228969573974609375,43931.0,5472357.236300134100019931793212890625,594.0,5659361.414454828016459941864013671875,33373.0,674.0,5355929.12475611083209514617919921875,32386.0,6000980.06033444590866565704345703125,44428.0,5325391.930618126876652240753173828125,679.0,5500216.21451593749225139617919921875,
problem_n110_eb31481c-e22e-49d2-9463-52bda9db3e39.vrp,110,15.0,640.0,5438023.42456816136837005615234375,32.0,6049051.11339177377521991729736328125,41793.0,5247330.006994624622166156768798828125,722.0,5419921.91618216224014759063720703125,32139.0,650.0,5259487.427640077657997608184814453125,32373.0,6048910.09019060246646404266357421875,41180.0,5179514.78848293609917163848876953125,631.0,5259586.45345607213675975799560546875,
problem_n110_ef7043f5-97a3-41cb-b124-00dd12878e92.vrp,110,16.0,644.0,5091500.127833847887814044952392578125,47.0,5510678.31400065682828426361083984375,37867.0,5209325.132418449036777019500732421875,639.0,5124700.560541174374520778656005859375,31252.0,640.0,5090290.554659090004861354827880859375,32807.0,5684391.0225354246795177459716796875,40633.0,4831091.745182664133608341217041015625,774.0,5111369.72740702889859676361083984375,
problem_n110_f6c904c0-17f5-4533-ad60-45aa54b2c1da.vrp,110,15.0,802.0,6189248.90481102466583251953125,16.0,7033118.38666334189474582672119140625,41294.0,6169918.86086350120604038238525390625,953.0,6376855.151177194900810718536376953125,32200.0,761.0,6103533.36523440293967723846435546875,32377.0,6611221.506815970875322818756103515625,40306.0,6107403.81065550260245800018310546875,604.0,6165067.52404057048261165618896484375,
problem_n110_fef5cd72-81c3-4e40-8a17-14e8144993ec.vrp,110,31.0,784.0,6841466.677222789265215396881103515625,14.0,7271695.036137719638645648956298828125,43593.0,6629828.773638139478862285614013671875,817.0,6773533.735739965923130512237548828125,33139.0,780.0,6655707.56029079854488372802734375,33453.0,7154735.11451482959091663360595703125,42155.0,6440246.57705037482082843780517578125,980.0,6561972.7075567729771137237548828125,
